Altitude,Latitude,Longitude,B_r,B_phi,B_theta,B_magnitude
400.0,-44.9,-99.9,23105.20,7041.23,-17084.02,29585.35
400.0,-44.9,-89.9,20380.10,5749.61,-16934.23,27114.11
400.0,-44.9,-79.9,18192.66,3884.93,-16555.10,24902.55
400.0,-44.9,-69.9,16887.40,1722.00,-15818.82,23203.12
400.0,-44.9,-59.9,16546.51,-288.87,-14717.06,22146.39
400.0,-44.9,-49.9,16927.03,-1767.09,-13392.03,21656.26
400.0,-44.9,-39.9,17611.63,-2601.65,-12056.02,21500.83
400.0,-44.9,-29.9,18248.73,-2947.92,-10884.61,21451.83
400.0,-44.9,-19.9,18683.53,-3071.88,-9982.61,21404.75
400.0,-44.9,-9.9,18937.20,-3233.14,-9415.00,21394.23
400.0,-44.9,0.1,19165.25,-3668.94,-9209.45,21577.34
400.0,-44.9,10.1,19652.42,-4558.18,-9311.44,22219.30
400.0,-44.9,20.1,20754.65,-5922.65,-9574.52,23611.54
400.0,-44.9,30.1,22760.93,-7574.34,-9818.64,25919.81
400.0,-44.9,40.1,25764.21,-9165.58,-9909.49,29086.08
400.0,-44.9,50.1,29606.48,-10309.77,-9820.32,32852.30
400.0,-44.9,60.1,33925.71,-10732.27,-9643.93,36866.53
400.0,-44.9,70.1,38298.23,-10358.39,-9527.82,40802.33
400.0,-44.9,80.1,42363.62,-9265.29,-9588.72,44412.45
400.0,-44.9,90.1,45838.21,-7598.59,-9880.96,47502.78
400.0,-44.9,100.1,48503.84,-5559.29,-10392.36,49915.22
400.0,-44.9,110.1,50254.09,-3377.86,-11037.72,51562.73
400.0,-44.9,120.1,51110.11,-1227.65,-11701.56,52446.90
400.0,-44.9,130.1,51160.57,806.27,-12317.83,52628.73
400.0,-44.9,140.1,50510.63,2675.91,-12892.17,52198.59
400.0,-44.9,150.1,49270.16,4334.03,-13460.65,51259.35
400.0,-44.9,160.1,47548.84,5729.28,-14051.37,49911.50
400.0,-44.9,170.1,45466.90,6810.29,-14663.76,48256.04
400.0,-39.9,-179.9,40210.62,7295.19,-17631.23,44508.13
400.0,-39.9,-169.9,37753.33,7668.89,-17990.28,42517.95
400.0,-39.9,-159.9,35306.30,7827.81,-18276.25,40519.51
400.0,-39.9,-149.9,32904.20,7834.03,-18480.84,38543.48
400.0,-39.9,-139.9,30554.15,7738.72,-18583.00,36589.23
400.0,-39.9,-129.9,28217.13,7590.06,-18556.04,34614.19
400.0,-39.9,-119.9,25799.93,7394.96,-18396.60,32538.54
400.0,-39.9,-109.9,23211.33,7057.68,-18142.27,30293.88
400.0,-39.9,-99.9,20479.17,6362.77,-17836.31,27892.93
400.0,-39.9,-89.9,17858.43,5077.98,-17450.06,25479.68
400.0,-39.9,-79.9,15802.26,3165.47,-16857.95,23322.14
400.0,-39.9,-69.9,14730.96,923.65,-15931.93,21718.21
400.0,-39.9,-59.9,14745.32,-1127.08,-14671.61,20831.49
400.0,-39.9,-49.9,15542.57,-2556.23,-13228.79,20569.56
400.0,-39.9,-39.9,16622.89,-3261.31,-11808.38,20649.32
400.0,-39.9,-29.9,17592.74,-3435.01,-10559.47,20804.00
400.0,-39.9,-19.9,18291.04,-3354.11,-9565.05,20911.77
400.0,-39.9,-9.9,18715.82,-3262.37,-8903.05,20980.69
400.0,-39.9,0.1,18980.46,-3409.09,-8650.44,21135.51
400.0,-39.9,10.1,19367.32,-4028.94,-8807.71,21654.13
400.0,-39.9,20.1,20291.24,-5198.82,-9260.41,22902.34
400.0,-39.9,30.1,22122.20,-6752.17,-9825.52,25130.15
400.0,-39.9,40.1,25015.53,-8323.59,-10330.00,28315.50
400.0,-39.9,50.1,28824.84,-9473.11,-10692.88,32170.62
400.0,-39.9,60.1,33133.00,-9874.75,-10968.65,36271.44
400.0,-39.9,70.1,37438.10,-9450.70,-11288.94,40228.93
400.0,-39.9,80.1,41339.26,-8309.58,-11761.60,43775.78
400.0,-39.9,90.1,44549.95,-6628.65,-12431.34,46724.46
400.0,-39.9,100.1,46873.06,-4646.45,-13266.69,48935.45
400.0,-39.9,110.1,48265.15,-2622.70,-14141.67,50362.59
400.0,-39.9,120.1,48828.23,-701.46,-14901.87,51056.38
400.0,-39.9,130.1,48681.65,1104.81,-15486.64,51097.55
400.0,-39.9,140.1,47905.29,2794.48,-15946.27,50566.88
400.0,-39.9,150.1,46572.89,4324.00,-16360.26,49551.88
400.0,-39.9,160.1,44766.94,5626.84,-16780.69,48138.68
400.0,-39.9,170.1,42596.07,6628.78,-17215.31,46419.10
400.0,-34.9,-179.9,36843.70,7007.25,-19874.83,42444.89
400.0,-34.9,-169.9,34366.47,7312.65,-20048.03,40453.09
